"created_date","n","sentiment_score_min","sentiment_score_mean","sentiment_score_max","retweet_count_total","retweet_count_median","favorite_count_total","favorite_count_median","text_total","direction"
2017-01-03,10,0.0127910673618317,0.406941199302673,0.902153789997101,144006,14269,572427,14269,"General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax! ||| People must remember that ObamaCare just doesn't work and it is not affordable - 116% increases (Arizona). Bill Clinton called it  || CRAZY ||  ||| The Democrat Governor.of Minnesota said  || The Affordable Care Act (ObamaCare) is no longer affordable! ||  - And it is lousy healthcare. ||| With all that Congress has to work on do they really have to make the weakening of the Independent Ethics Watchdog as unfair as it ||| ........may be their number one act and priority. Focus on tax reform healthcare and so many other things of far greater importance! #DTS |||  || @DanScavino: Ford to scrap Mexico plant invest in Michigan due to Trump policies || https://t.co/137nUo03Gl ||| Instead of driving jobs and wealth away AMERICA will become the world's great magnet for INNOVATION &amp; JOB CREATION.https://t.co/siXrptsOrt ||| There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield. |||  || Trump is already delivering the jobs he promised America ||  https://t.co/11spTMa6Tm ||| I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.",1
2017-01-04,10,0.0216728150844574,0.343088820576668,0.955217838287354,149930,14203,585129,14203,"The  || Intelligence ||  briefing on so-called  || Russian hacking ||  was delayed until Friday perhaps more time needed to build a case. Very strange! ||| Julian Assange said  || a 14 year old could have hacked Podesta ||  - why was DNC so careless? Also said Russians did not give him the info! |||  || @FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9 ||  More dishonest than anyone knows ||| Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow ||| Somebody hacked the DNC but why did they not have  || hacking defense ||  like the RNC has and why have they not responded to the terrible...... ||| things they did and said (like giving the questions to the debate to H). A total double standard! Media as usual gave them a pass. ||| Republicans must be careful in that the Dems own the failed ObamaCare disaster with its poor coverage and massive premium increases...... ||| like the 116% hike in Arizona. Also deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web... ||| massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful! ||| Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the  || Movement || ",1
2017-01-05,6,0.0509145259857178,0.373365918795268,0.907673180103302,105763,15828.5,421006,15828.5,"The Democrats lead by head clown Chuck Schumer know how bad ObamaCare is and what a mess they are in. Instead of working to fix it they.. ||| ...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning. || Keep you doctor keep your plan! ||  It is.... ||| ...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER! ||| The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states it is for the people.... ||| to make up their own minds as to the truth. The media lies to make it look like I am against  || Intelligence ||  when in fact I am a big fan! ||| Toyota Motor said will build a new plant in Baja Mexico to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",0
2017-01-06,12,0.0970434844493866,0.509727977216244,0.98080837726593,185275,16577.5,725071,16577.5,"How did NBC get  || an exclusive look into the top secret report he (Obama) was presented? ||  Who gave them this report and why? Politics! ||| The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia...... ||| So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on? ||| The dishonest media does not report that any money spent on building the Great Wall (for sake of speed) will be paid back by Mexico later! ||| Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the...... ||| and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE ||| Hopefully all supporters and those who want to MAKE AMERICA GREAT AGAIN will go to D.C. on January 20th. It will be a GREAT SHOW! ||| Wow the ratings are in and Arnold Schwarzenegger got  || swamped ||  (or destroyed) by comparison to the ratings machine DJT. So much for.... ||| being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares he supported Kasich &amp; Hillary ||| Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse a friend. Will go this AM. ||| I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it. ||| Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!",1
2017-01-09,8,0.0578064322471619,0.46034399420023,0.996192693710327,172996,22329.5,726207,22329.5,"Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake! ||| Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer! ||| Meryl Streep one of the most over-rated actresses in Hollywood doesn't know me but attacked last night at the Golden Globes. She is a..... ||| Hillary flunky who lost big. For the 100th time I never  || mocked ||  a disabled reporter (would never do that) but simply showed him....... |||  || groveling ||  when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media! ||| It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants adding 2000 jobs. This after... ||| Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C! ||| An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf",0
2017-01-10,4,0.5,0.600206092000008,0.900824368000031,56680,11475,228134,11475,"Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! #LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv ||| 'U.S. Small-Business Optimism Index Surges by Most Since 1980'https://t.co/X22x1BttdG ||| 'Small business optimism soars after Trump election' https://t.co/WjBaTp824U ||| 'Trump Helps Lift Small Business Confidence to 12-Yr. High'https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx",0
2017-01-11,6,0.0838251709938049,0.405860632658005,0.757892847061157,145811,26147,514637,26147,"FAKE NEWS - A TOTAL POLITICAL WITCH HUNT! ||| 'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews https://t.co/d6daCFZHNh ||| Russia just said the unverified report paid for by political opponents is  || A COMPLETE AND TOTAL FABRICATION UTTER NONSENSE. ||  Very unfair! ||| Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS NO LOANS NO NOTHING! ||| I win an election easily a great  || movement ||  is verified and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state! ||| Intelligence agencies should never have allowed this fake news to  || leak ||  into the public. One last shot at me.Are we living in Nazi Germany?",1
2017-01-12,6,0.0587432682514191,0.57171938320001,0.980142593383789,130610,20392,547614,20392,"We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on |||  || @zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!! ||  THANKS! ||| James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up phony facts.Too bad! ||| Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine ||| .@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone! ||| Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!",0
2017-01-13,8,0.0115745365619659,0.377035267651081,0.950327694416046,136100,15040,626433,15040,"All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts not mine! ||| It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued.... ||| Totally made up facts by sleazebag political operatives both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably... ||| released by  || Intelligence ||  even knowing there is no proof and never will be. My people will have a full report on hacking within 90 days! ||| What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never..... ||| have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm! ||| The  || Unaffordable ||  Care Act will soon be history! ||| A beautiful funeral today for a real NYC hero Detective Steven McDonald. Our law enforcement community has my complete and total support.",0
2017-01-17,11,0.0355119407176971,0.588760440999811,0.905169188976288,166291,12578,786500,12578," || @levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency. ||  Very dishonest media! ||| At 9:00 P.M. @CNN of all places is doing a Special Report on my daughter Ivanka. Considering it is CNN can't imagine it will be great! |||  || @drgoodspine: @realDonaldTrump @Ivanka Trump is great a woman with real character and class. ||  ||| People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday Friday and Saturday! ||| The same people who did the phony election polls and were so wrong are now doing approval rating polls. They are rigged just like before. ||| With all of the jobs I am bringing back into the U.S. (even before taking office) with all of the new auto plants coming back into our..... ||| country and with the massive cost reductions I have negotiated on military purchases and more I believe the people are seeing  || big stuff. ||  ||| John Lewis said about my inauguration  || It will be the first one that I've missed. ||  WRONG (or lie)! He boycotted Bush 43 also because he... |||  || thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president. ||  Sound familiar! WP |||  || How Trump Won--And How The Media Missed It ||  https://t.co/Hfab41h65X ||| Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!",0
