"created_date","n","text","direction"
2017-01-03,10,"General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax! ||| People must remember that ObamaCare just doesn't work and it is not affordable - 116% increases (Arizona). Bill Clinton called it  || CRAZY ||  ||| The Democrat Governor.of Minnesota said  || The Affordable Care Act (ObamaCare) is no longer affordable! ||  - And it is lousy healthcare. ||| With all that Congress has to work on do they really have to make the weakening of the Independent Ethics Watchdog as unfair as it ||| ........may be their number one act and priority. Focus on tax reform healthcare and so many other things of far greater importance! #DTS |||  || @DanScavino: Ford to scrap Mexico plant invest in Michigan due to Trump policies || https://t.co/137nUo03Gl ||| Instead of driving jobs and wealth away AMERICA will become the world's great magnet for INNOVATION &amp; JOB CREATION.https://t.co/siXrptsOrt ||| There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield. |||  || Trump is already delivering the jobs he promised America ||  https://t.co/11spTMa6Tm ||| I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.","1"
2017-01-04,10,"The  || Intelligence ||  briefing on so-called  || Russian hacking ||  was delayed until Friday perhaps more time needed to build a case. Very strange! ||| Julian Assange said  || a 14 year old could have hacked Podesta ||  - why was DNC so careless? Also said Russians did not give him the info! |||  || @FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9 ||  More dishonest than anyone knows ||| Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow ||| Somebody hacked the DNC but why did they not have  || hacking defense ||  like the RNC has and why have they not responded to the terrible...... ||| things they did and said (like giving the questions to the debate to H). A total double standard! Media as usual gave them a pass. ||| Republicans must be careful in that the Dems own the failed ObamaCare disaster with its poor coverage and massive premium increases...... ||| like the 116% hike in Arizona. Also deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web... ||| massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful! ||| Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the  || Movement || ","1"
2017-01-06,12,"How did NBC get  || an exclusive look into the top secret report he (Obama) was presented? ||  Who gave them this report and why? Politics! ||| The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia...... ||| So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on? ||| The dishonest media does not report that any money spent on building the Great Wall (for sake of speed) will be paid back by Mexico later! ||| Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the...... ||| and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE ||| Hopefully all supporters and those who want to MAKE AMERICA GREAT AGAIN will go to D.C. on January 20th. It will be a GREAT SHOW! ||| Wow the ratings are in and Arnold Schwarzenegger got  || swamped ||  (or destroyed) by comparison to the ratings machine DJT. So much for.... ||| being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares he supported Kasich &amp; Hillary ||| Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse a friend. Will go this AM. ||| I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it. ||| Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!","1"
2017-01-11,6,"FAKE NEWS - A TOTAL POLITICAL WITCH HUNT! ||| 'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews https://t.co/d6daCFZHNh ||| Russia just said the unverified report paid for by political opponents is  || A COMPLETE AND TOTAL FABRICATION UTTER NONSENSE. ||  Very unfair! ||| Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS NO LOANS NO NOTHING! ||| I win an election easily a great  || movement ||  is verified and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state! ||| Intelligence agencies should never have allowed this fake news to  || leak ||  into the public. One last shot at me.Are we living in Nazi Germany?","1"
2017-01-20,13,"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together we are going to MAKE AM… https://t.co/OSxa3BamHs ||| Thank you for a wonderful evening in Washington D.C. #Inauguration https://t.co/a6xpFQTHj5 ||| It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS! ||| Today we are not merely transferring power from one Administration to another or from one party to another – but we are transferring... ||| power from Washington D.C. and giving it back to you the American People. #InaugurationDay ||| What truly matters is not which party controls our government but whether our government is controlled by the people. ||| January 20th 2017 will be remembered as the day the people became the rulers of this nation again. ||| The forgotten men and women of our country will be forgotten no longer. From this moment on it’s going to be #AmericaFirst🇺🇸 ||| We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams! ||| We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN!#InaugurationDay #MAGA🇺🇸 ||| It is time to remember that...https://t.co/ZKyOiOor62 ||| So to all Americans in every city near and far small and large from mountain to mountain...https://t.co/cZKkrGXLSi ||| TO ALL AMERICANS🇺🇸https://t.co/D7Es6ie4fY","1"
2017-01-24,4,"Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here! ||| A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0 ||| Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together we will #MAGA! https://t.co/OXdiLOkGsZ ||| Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off… https://t.co/aOxmfO0vOK","1"
2017-01-25,8,"Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8 ||| Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart! ||| If Chicago doesn't fix the horrible  || carnage ||  going on 228 shootings in 2017 with 42 killings (up 24% from 2016) I will send in the Feds! ||| Big day planned on NATIONAL SECURITY tomorrow. Among many other things we will build the wall! ||| I will be asking for a major investigation into VOTER FRAUD including those registered to vote in two states those who are illegal and.... ||| even those registered to vote who are dead (and many for a long time). Depending on results we will strengthen up voting procedures! ||| I will be making my Supreme Court pick on Thursday of next week.Thank you! ||| I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.… https://t.co/4zuOrRdcoc","1"
2017-01-26,11,"Beginning today the United States of America gets back control of its borders. Full speech from today @DHSgov:… https://t.co/8aDaHsAhg9 ||| As your President I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f |||  || @romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK ||  ||| Interview with David Muir of @ABC News in 10 minutes. Enjoy! ||| Ungrateful TRAITOR Chelsea Manning who should never have been released from prison is now calling President Obama a weak leader. Terrible! ||| The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers... ||| of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall then it would be better to cancel the upcoming meeting. ||| Spoke at the Congressional @GOP Retreat in Philadelphia PA. this afternoon w/ @VP @SenMajLeader @SpeakerRyan. Th… https://t.co/s4sTbSyBSR ||| Spoke at the Congressional @GOP Retreat in Philadelphia PA. this afternoon w/ @VP @SenateMajLdr @SpeakerRyan. Th… https://t.co/ALSADGrwoe ||| Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy! ||| Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! https://t.co/MtPvaDC4jM","1"
2017-02-01,4,"Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M. ||| Join me live from the @WhiteHouse.https://t.co/LHOs4nAaGl ||| Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man respected by all. ||| Everybody is arguing whether or not it is a BAN. Call it what you want it is about keeping bad people (with bad intentions) out of country!","1"
2017-02-03,7,"Yes Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard! ||| Iran is playing with fire - they don't appreciate how  || kind ||  President Obama was to them. Not me! ||| Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice! ||| Meeting with biggest business leaders this morning. Good jobs are coming back to U.S. health care and tax bills are being crafted NOW! ||| Professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN! ||| A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S. ||| We must keep  || evil ||  out of our country!","1"
2017-02-07,5,"The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse! ||| The threat from radical Islamic terrorism is very real just look at what is happening in Europe and the Middle-East. Courts must act fast! ||| I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1in terror no problem! ||| I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1 in terror no problem! ||| An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L","1"
